,ESTACION,MAGNITUD,ANO,MES,DIA,valor_medido,fecha
1072,59,83,2019,1,1,5.2,2019-01-01
6125,59,83,2019,1,2,4.1,2019-01-02
11178,59,83,2019,1,3,5.1,2019-01-03
16231,59,83,2019,1,4,4.2,2019-01-04
21284,59,83,2019,1,5,3.9,2019-01-05
26337,59,83,2019,1,6,5.2,2019-01-06
31390,59,83,2019,1,7,6.7,2019-01-07
36443,59,83,2019,1,8,6.1,2019-01-08
41496,59,83,2019,1,9,6.7,2019-01-09
46549,59,83,2019,1,10,3.4,2019-01-10
51602,59,83,2019,1,11,2.5,2019-01-11
56655,59,83,2019,1,12,3.6,2019-01-12
61708,59,83,2019,1,13,3.7,2019-01-13
66761,59,83,2019,1,14,5.4,2019-01-14
71814,59,83,2019,1,15,5.6,2019-01-15
76867,59,83,2019,1,16,4.4,2019-01-16
81920,59,83,2019,1,17,4.1,2019-01-17
86973,59,83,2019,1,18,2.5,2019-01-18
92026,59,83,2019,1,19,1.2,2019-01-19
97079,59,83,2019,1,20,5.0,2019-01-20
102132,59,83,2019,1,21,5.0,2019-01-21
107185,59,83,2019,1,22,3.8,2019-01-22
112238,59,83,2019,1,23,9.8,2019-01-23
117291,59,83,2019,1,24,10.4,2019-01-24
122344,59,83,2019,1,25,10.3,2019-01-25
127397,59,83,2019,1,26,6.5,2019-01-26
132450,59,83,2019,1,27,6.7,2019-01-27
137503,59,83,2019,1,28,7.9,2019-01-28
142556,59,83,2019,1,29,7.9,2019-01-29
147609,59,83,2019,1,30,6.8,2019-01-30
152662,59,83,2019,1,31,9.7,2019-01-31
1073,59,83,2019,2,1,6.8,2019-02-01
6126,59,83,2019,2,2,4.5,2019-02-02
11179,59,83,2019,2,3,3.7,2019-02-03
16232,59,83,2019,2,4,3.9,2019-02-04
21285,59,83,2019,2,5,7.3,2019-02-05
26338,59,83,2019,2,6,7.9,2019-02-06
31391,59,83,2019,2,7,7.9,2019-02-07
36444,59,83,2019,2,8,7.3,2019-02-08
41497,59,83,2019,2,9,6.6,2019-02-09
46550,59,83,2019,2,10,8.3,2019-02-10
51603,59,83,2019,2,11,8.5,2019-02-11
56656,59,83,2019,2,12,6.6,2019-02-12
61709,59,83,2019,2,13,7.5,2019-02-13
66762,59,83,2019,2,14,6.8,2019-02-14
71815,59,83,2019,2,15,7.4,2019-02-15
76868,59,83,2019,2,16,8.9,2019-02-16
81921,59,83,2019,2,17,7.4,2019-02-17
86974,59,83,2019,2,18,7.1,2019-02-18
92027,59,83,2019,2,19,8.5,2019-02-19
97080,59,83,2019,2,20,7.9,2019-02-20
102133,59,83,2019,2,21,8.9,2019-02-21
107186,59,83,2019,2,22,9.4,2019-02-22
112239,59,83,2019,2,23,9.9,2019-02-23
117292,59,83,2019,2,24,11.1,2019-02-24
122345,59,83,2019,2,25,10.7,2019-02-25
127398,59,83,2019,2,26,11.4,2019-02-26
132451,59,83,2019,2,27,11.3,2019-02-27
137504,59,83,2019,2,28,11.4,2019-02-28
1074,59,83,2019,3,1,11.7,2019-03-01
6127,59,83,2019,3,2,13.0,2019-03-02
11180,59,83,2019,3,3,12.1,2019-03-03
16233,59,83,2019,3,4,12.0,2019-03-04
21286,59,83,2019,3,5,11.8,2019-03-05
26339,59,83,2019,3,6,10.1,2019-03-06
31392,59,83,2019,3,7,8.2,2019-03-07
36445,59,83,2019,3,8,10.2,2019-03-08
41498,59,83,2019,3,9,11.2,2019-03-09
46551,59,83,2019,3,10,13.6,2019-03-10
51604,59,83,2019,3,11,13.4,2019-03-11
56657,59,83,2019,3,12,12.7,2019-03-12
61710,59,83,2019,3,13,10.3,2019-03-13
66763,59,83,2019,3,14,10.2,2019-03-14
71816,59,83,2019,3,15,12.9,2019-03-15
76869,59,83,2019,3,16,15.2,2019-03-16
81922,59,83,2019,3,17,12.8,2019-03-17
86975,59,83,2019,3,18,8.7,2019-03-18
92028,59,83,2019,3,19,9.5,2019-03-19
97081,59,83,2019,3,20,8.3,2019-03-20
102134,59,83,2019,3,21,8.8,2019-03-21
107187,59,83,2019,3,22,10.2,2019-03-22
112240,59,83,2019,3,23,12.7,2019-03-23
117293,59,83,2019,3,24,13.9,2019-03-24
122346,59,83,2019,3,25,13.5,2019-03-25
127399,59,83,2019,3,26,11.9,2019-03-26
132452,59,83,2019,3,27,11.0,2019-03-27
137505,59,83,2019,3,28,11.2,2019-03-28
142558,59,83,2019,3,29,10.8,2019-03-29
147611,59,83,2019,3,30,11.5,2019-03-30
152664,59,83,2019,3,31,9.5,2019-03-31
1075,59,83,2019,4,1,11.4,2019-04-01
6128,59,83,2019,4,2,12.7,2019-04-02
11181,59,83,2019,4,3,11.5,2019-04-03
16234,59,83,2019,4,4,8.5,2019-04-04
21287,59,83,2019,4,5,6.3,2019-04-05
26340,59,83,2019,4,6,6.0,2019-04-06
31393,59,83,2019,4,7,7.9,2019-04-07
36446,59,83,2019,4,8,10.4,2019-04-08
41499,59,83,2019,4,9,8.9,2019-04-09
46552,59,83,2019,4,10,9.8,2019-04-10
51605,59,83,2019,4,11,9.7,2019-04-11
56658,59,83,2019,4,12,11.0,2019-04-12
61711,59,83,2019,4,13,13.4,2019-04-13
66764,59,83,2019,4,14,16.1,2019-04-14
71817,59,83,2019,4,15,16.4,2019-04-15
76870,59,83,2019,4,16,14.4,2019-04-16
81923,59,83,2019,4,17,15.8,2019-04-17
86976,59,83,2019,4,18,10.1,2019-04-18
92029,59,83,2019,4,19,9.2,2019-04-19
97082,59,83,2019,4,20,13.2,2019-04-20
102135,59,83,2019,4,21,10.0,2019-04-21
107188,59,83,2019,4,22,12.8,2019-04-22
112241,59,83,2019,4,23,10.4,2019-04-23
117294,59,83,2019,4,24,7.6,2019-04-24
122347,59,83,2019,4,25,9.8,2019-04-25
127400,59,83,2019,4,26,12.1,2019-04-26
132453,59,83,2019,4,27,13.8,2019-04-27
137506,59,83,2019,4,28,16.7,2019-04-28
142559,59,83,2019,4,29,18.0,2019-04-29
147612,59,83,2019,4,30,18.5,2019-04-30
1076,59,83,2019,5,1,17.8,2019-05-01
6129,59,83,2019,5,2,17.8,2019-05-02
11182,59,83,2019,5,3,14.8,2019-05-03
16235,59,83,2019,5,4,13.6,2019-05-04
21288,59,83,2019,5,5,14.6,2019-05-05
26341,59,83,2019,5,6,16.8,2019-05-06
31394,59,83,2019,5,7,17.6,2019-05-07
36447,59,83,2019,5,8,16.0,2019-05-08
41500,59,83,2019,5,9,16.2,2019-05-09
46553,59,83,2019,5,10,18.8,2019-05-10
51606,59,83,2019,5,11,19.3,2019-05-11
56659,59,83,2019,5,12,17.6,2019-05-12
61712,59,83,2019,5,13,20.4,2019-05-13
66765,59,83,2019,5,14,20.1,2019-05-14
71818,59,83,2019,5,15,22.7,2019-05-15
76871,59,83,2019,5,16,20.4,2019-05-16
81924,59,83,2019,5,17,13.0,2019-05-17
86977,59,83,2019,5,18,13.3,2019-05-18
92030,59,83,2019,5,19,14.8,2019-05-19
97083,59,83,2019,5,20,15.1,2019-05-20
102136,59,83,2019,5,21,17.8,2019-05-21
107189,59,83,2019,5,22,19.9,2019-05-22
112242,59,83,2019,5,23,21.4,2019-05-23
117295,59,83,2019,5,24,18.7,2019-05-24
122348,59,83,2019,5,25,16.9,2019-05-25
127401,59,83,2019,5,26,17.8,2019-05-26
132454,59,83,2019,5,27,20.4,2019-05-27
137507,59,83,2019,5,28,18.1,2019-05-28
142560,59,83,2019,5,29,17.4,2019-05-29
147613,59,83,2019,5,30,21.2,2019-05-30
152666,59,83,2019,5,31,23.4,2019-05-31
1077,59,83,2019,6,1,24.5,2019-06-01
6130,59,83,2019,6,2,25.6,2019-06-02
11183,59,83,2019,6,3,25.5,2019-06-03
16236,59,83,2019,6,4,23.5,2019-06-04
21289,59,83,2019,6,5,17.0,2019-06-05
26342,59,83,2019,6,6,17.5,2019-06-06
31395,59,83,2019,6,7,16.0,2019-06-07
36448,59,83,2019,6,8,19.1,2019-06-08
41501,59,83,2019,6,9,20.6,2019-06-09
46554,59,83,2019,6,10,19.8,2019-06-10
51607,59,83,2019,6,11,16.4,2019-06-11
56660,59,83,2019,6,12,16.4,2019-06-12
61713,59,83,2019,6,13,20.1,2019-06-13
66766,59,83,2019,6,14,19.8,2019-06-14
71819,59,83,2019,6,15,18.9,2019-06-15
