,ESTACION,MAGNITUD,ANO,MES,DIA,valor_medido,fecha
627,4,83,2019,1,1,4.5,2019-01-01
5680,4,83,2019,1,2,4.0,2019-01-02
10733,4,83,2019,1,3,4.3,2019-01-03
15786,4,83,2019,1,4,4.1,2019-01-04
20839,4,83,2019,1,5,3.6,2019-01-05
25892,4,83,2019,1,6,3.7,2019-01-06
30945,4,83,2019,1,7,4.2,2019-01-07
35998,4,83,2019,1,8,4.7,2019-01-08
41051,4,83,2019,1,9,6.2,2019-01-09
46104,4,83,2019,1,10,4.1,2019-01-10
51157,4,83,2019,1,11,1.9,2019-01-11
56210,4,83,2019,1,12,2.9,2019-01-12
61263,4,83,2019,1,13,3.4,2019-01-13
66316,4,83,2019,1,14,5.1,2019-01-14
71369,4,83,2019,1,15,5.6,2019-01-15
76422,4,83,2019,1,16,4.0,2019-01-16
81475,4,83,2019,1,17,4.5,2019-01-17
86528,4,83,2019,1,18,2.4,2019-01-18
91581,4,83,2019,1,19,1.6,2019-01-19
96634,4,83,2019,1,20,6.5,2019-01-20
101687,4,83,2019,1,21,4.7,2019-01-21
106740,4,83,2019,1,22,4.2,2019-01-22
111793,4,83,2019,1,23,10.1,2019-01-23
116846,4,83,2019,1,24,12.7,2019-01-24
121899,4,83,2019,1,25,10.4,2019-01-25
126952,4,83,2019,1,26,6.5,2019-01-26
132005,4,83,2019,1,27,8.2,2019-01-27
137058,4,83,2019,1,28,9.3,2019-01-28
142111,4,83,2019,1,29,8.3,2019-01-29
147164,4,83,2019,1,30,7.4,2019-01-30
152217,4,83,2019,1,31,10.1,2019-01-31
628,4,83,2019,2,1,7.0,2019-02-01
5681,4,83,2019,2,2,5.4,2019-02-02
10734,4,83,2019,2,3,5.2,2019-02-03
15787,4,83,2019,2,4,4.4,2019-02-04
20840,4,83,2019,2,5,7.3,2019-02-05
25893,4,83,2019,2,6,8.1,2019-02-06
30946,4,83,2019,2,7,8.4,2019-02-07
35999,4,83,2019,2,8,7.5,2019-02-08
41052,4,83,2019,2,9,7.2,2019-02-09
46105,4,83,2019,2,10,8.8,2019-02-10
51158,4,83,2019,2,11,9.8,2019-02-11
56211,4,83,2019,2,12,8.0,2019-02-12
61264,4,83,2019,2,13,7.6,2019-02-13
66317,4,83,2019,2,14,7.0,2019-02-14
71370,4,83,2019,2,15,7.5,2019-02-15
76423,4,83,2019,2,16,9.9,2019-02-16
81476,4,83,2019,2,17,9.0,2019-02-17
86529,4,83,2019,2,18,9.1,2019-02-18
91582,4,83,2019,2,19,8.7,2019-02-19
96635,4,83,2019,2,20,8.3,2019-02-20
101688,4,83,2019,2,21,9.2,2019-02-21
106741,4,83,2019,2,22,9.3,2019-02-22
111794,4,83,2019,2,23,9.2,2019-02-23
116847,4,83,2019,2,24,10.9,2019-02-24
121900,4,83,2019,2,25,10.6,2019-02-25
126953,4,83,2019,2,26,11.6,2019-02-26
132006,4,83,2019,2,27,11.4,2019-02-27
137059,4,83,2019,2,28,10.6,2019-02-28
629,4,83,2019,3,1,11.7,2019-03-01
5682,4,83,2019,3,2,13.3,2019-03-02
10735,4,83,2019,3,3,11.8,2019-03-03
15788,4,83,2019,3,4,12.4,2019-03-04
20841,4,83,2019,3,5,12.2,2019-03-05
25894,4,83,2019,3,6,10.8,2019-03-06
30947,4,83,2019,3,7,8.5,2019-03-07
36000,4,83,2019,3,8,10.9,2019-03-08
41053,4,83,2019,3,9,11.3,2019-03-09
46106,4,83,2019,3,10,13.7,2019-03-10
51159,4,83,2019,3,11,14.3,2019-03-11
56212,4,83,2019,3,12,13.0,2019-03-12
61265,4,83,2019,3,13,11.9,2019-03-13
66318,4,83,2019,3,14,10.5,2019-03-14
71371,4,83,2019,3,15,12.8,2019-03-15
76424,4,83,2019,3,16,14.8,2019-03-16
81477,4,83,2019,3,17,14.6,2019-03-17
86530,4,83,2019,3,18,10.0,2019-03-18
91583,4,83,2019,3,19,10.8,2019-03-19
96636,4,83,2019,3,20,10.0,2019-03-20
101689,4,83,2019,3,21,10.3,2019-03-21
106742,4,83,2019,3,22,11.1,2019-03-22
111795,4,83,2019,3,23,13.2,2019-03-23
116848,4,83,2019,3,24,15.4,2019-03-24
121901,4,83,2019,3,25,14.4,2019-03-25
126954,4,83,2019,3,26,13.2,2019-03-26
132007,4,83,2019,3,27,12.3,2019-03-27
137060,4,83,2019,3,28,13.2,2019-03-28
142113,4,83,2019,3,29,12.5,2019-03-29
147166,4,83,2019,3,30,12.9,2019-03-30
152219,4,83,2019,3,31,11.2,2019-03-31
630,4,83,2019,4,1,12.5,2019-04-01
5683,4,83,2019,4,2,13.1,2019-04-02
10736,4,83,2019,4,3,12.1,2019-04-03
15789,4,83,2019,4,4,9.4,2019-04-04
20842,4,83,2019,4,5,6.8,2019-04-05
25895,4,83,2019,4,6,6.6,2019-04-06
30948,4,83,2019,4,7,8.4,2019-04-07
36001,4,83,2019,4,8,11.3,2019-04-08
41054,4,83,2019,4,9,9.2,2019-04-09
46107,4,83,2019,4,10,10.8,2019-04-10
51160,4,83,2019,4,11,11.1,2019-04-11
56213,4,83,2019,4,12,11.7,2019-04-12
61266,4,83,2019,4,13,13.2,2019-04-13
66319,4,83,2019,4,14,17.6,2019-04-14
71372,4,83,2019,4,15,17.0,2019-04-15
76425,4,83,2019,4,16,15.4,2019-04-16
81478,4,83,2019,4,17,16.6,2019-04-17
86531,4,83,2019,4,18,11.1,2019-04-18
91584,4,83,2019,4,19,10.3,2019-04-19
96637,4,83,2019,4,20,14.1,2019-04-20
101690,4,83,2019,4,21,11.0,2019-04-21
106743,4,83,2019,4,22,13.7,2019-04-22
111796,4,83,2019,4,23,10.8,2019-04-23
116849,4,83,2019,4,24,8.1,2019-04-24
121902,4,83,2019,4,25,10.2,2019-04-25
126955,4,83,2019,4,26,12.7,2019-04-26
132008,4,83,2019,4,27,14.3,2019-04-27
137061,4,83,2019,4,28,18.3,2019-04-28
142114,4,83,2019,4,29,19.9,2019-04-29
147167,4,83,2019,4,30,20.0,2019-04-30
631,4,83,2019,5,1,19.7,2019-05-01
5684,4,83,2019,5,2,19.8,2019-05-02
10737,4,83,2019,5,3,16.7,2019-05-03
15790,4,83,2019,5,4,15.4,2019-05-04
20843,4,83,2019,5,5,16.3,2019-05-05
25896,4,83,2019,5,6,17.4,2019-05-06
30949,4,83,2019,5,7,18.0,2019-05-07
36002,4,83,2019,5,8,16.5,2019-05-08
41055,4,83,2019,5,9,16.3,2019-05-09
46108,4,83,2019,5,10,19.6,2019-05-10
51161,4,83,2019,5,11,20.7,2019-05-11
56214,4,83,2019,5,12,19.4,2019-05-12
61267,4,83,2019,5,13,21.8,2019-05-13
66320,4,83,2019,5,14,22.2,2019-05-14
71373,4,83,2019,5,15,23.6,2019-05-15
76426,4,83,2019,5,16,21.7,2019-05-16
81479,4,83,2019,5,17,14.5,2019-05-17
86532,4,83,2019,5,18,14.3,2019-05-18
91585,4,83,2019,5,19,16.0,2019-05-19
96638,4,83,2019,5,20,16.6,2019-05-20
101691,4,83,2019,5,21,19.7,2019-05-21
106744,4,83,2019,5,22,21.3,2019-05-22
111797,4,83,2019,5,23,22.0,2019-05-23
116850,4,83,2019,5,24,20.1,2019-05-24
121903,4,83,2019,5,25,18.2,2019-05-25
126956,4,83,2019,5,26,19.4,2019-05-26
132009,4,83,2019,5,27,21.9,2019-05-27
137062,4,83,2019,5,28,19.9,2019-05-28
142115,4,83,2019,5,29,18.9,2019-05-29
147168,4,83,2019,5,30,22.7,2019-05-30
