,fecha,temp
1072,2019-01-01,5.2
6125,2019-01-02,4.1
11178,2019-01-03,5.1
16231,2019-01-04,4.2
21284,2019-01-05,3.9
26337,2019-01-06,5.2
31390,2019-01-07,6.7
36443,2019-01-08,6.1
41496,2019-01-09,6.7
46549,2019-01-10,3.4
51602,2019-01-11,2.5
56655,2019-01-12,3.6
61708,2019-01-13,3.7
66761,2019-01-14,5.4
71814,2019-01-15,5.6
76867,2019-01-16,4.4
81920,2019-01-17,4.1
86973,2019-01-18,2.5
92026,2019-01-19,1.2
97079,2019-01-20,5.0
102132,2019-01-21,5.0
107185,2019-01-22,3.8
112238,2019-01-23,9.8
117291,2019-01-24,10.4
122344,2019-01-25,10.3
127397,2019-01-26,6.5
132450,2019-01-27,6.7
137503,2019-01-28,7.9
142556,2019-01-29,7.9
147609,2019-01-30,6.8
152662,2019-01-31,9.7
1073,2019-02-01,6.8
6126,2019-02-02,4.5
11179,2019-02-03,3.7
16232,2019-02-04,3.9
21285,2019-02-05,7.3
26338,2019-02-06,7.9
31391,2019-02-07,7.9
36444,2019-02-08,7.3
41497,2019-02-09,6.6
46550,2019-02-10,8.3
51603,2019-02-11,8.5
56656,2019-02-12,6.6
61709,2019-02-13,7.5
66762,2019-02-14,6.8
71815,2019-02-15,7.4
76868,2019-02-16,8.9
81921,2019-02-17,7.4
86974,2019-02-18,7.1
92027,2019-02-19,8.5
97080,2019-02-20,7.9
102133,2019-02-21,8.9
107186,2019-02-22,9.4
112239,2019-02-23,9.9
117292,2019-02-24,11.1
122345,2019-02-25,10.7
127398,2019-02-26,11.4
132451,2019-02-27,11.3
137504,2019-02-28,11.4
1074,2019-03-01,11.7
6127,2019-03-02,13.0
11180,2019-03-03,12.1
16233,2019-03-04,12.0
21286,2019-03-05,11.8
26339,2019-03-06,10.1
31392,2019-03-07,8.2
36445,2019-03-08,10.2
41498,2019-03-09,11.2
46551,2019-03-10,13.6
51604,2019-03-11,13.4
56657,2019-03-12,12.7
61710,2019-03-13,10.3
66763,2019-03-14,10.2
71816,2019-03-15,12.9
76869,2019-03-16,15.2
81922,2019-03-17,12.8
86975,2019-03-18,8.7
92028,2019-03-19,9.5
97081,2019-03-20,8.3
102134,2019-03-21,8.8
107187,2019-03-22,10.2
112240,2019-03-23,12.7
117293,2019-03-24,13.9
122346,2019-03-25,13.5
127399,2019-03-26,11.9
132452,2019-03-27,11.0
137505,2019-03-28,11.2
142558,2019-03-29,10.8
147611,2019-03-30,11.5
152664,2019-03-31,9.5
1075,2019-04-01,11.4
6128,2019-04-02,12.7
11181,2019-04-03,11.5
16234,2019-04-04,8.5
21287,2019-04-05,6.3
26340,2019-04-06,6.0
31393,2019-04-07,7.9
36446,2019-04-08,10.4
41499,2019-04-09,8.9
46552,2019-04-10,9.8
51605,2019-04-11,9.7
56658,2019-04-12,11.0
61711,2019-04-13,13.4
66764,2019-04-14,16.1
71817,2019-04-15,16.4
